X,Y,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
-96.7874594649188,41.9164405016854,31,039,00835841,31039,Cuming,Cuming County,06,H1,G4020,,,,A,1477641638,10701538,+41.9158651,-096.7885168
-123.343072046755,46.2651734850299,53,069,01513275,53069,Wahkiakum,Wahkiakum County,06,H1,G4020,,,,A,680956787,61588406,+46.2946377,-123.4244583
-104.420376190734,34.3839425027052,35,011,00933054,35011,De Baca,De Baca County,06,H1,G4020,,,,A,6016761648,29147345,+34.3592729,-104.3686961
-96.6872581773125,40.7844520003097,31,109,00835876,31109,Lancaster,Lancaster County,06,H1,G4020,339,30700,,A,2169252486,22867561,+40.7835474,-096.6886584
-98.047195582093,40.1763645138193,31,129,00835886,31129,Nuckolls,Nuckolls County,06,H1,G4020,,,,A,1489645186,1718484,+40.1764918,-098.0468422
-65.8622490676348,18.1961114418344,72,085,01804523,72085,Las Piedras,Las Piedras Municipio,13,H1,G4020,490,41980,,A,87748363,32509,+18.1871483,-065.8711890
-96.79145300629,43.6746330376638,46,099,01265772,46099,Minnehaha,Minnehaha County,06,H1,G4020,,43620,,A,2089691696,18198505,+43.6674723,-096.7957261
-99.8004064276676,30.8992710006435,48,327,01383949,48327,Menard,Menard County,06,H1,G4020,,,,A,2336237920,613559,+30.8843921,-099.8539616
-120.510654189432,39.5838541814073,06,091,00277310,06091,Sierra,Sierra County,06,H1,G4020,,,,A,2468694586,23299110,+39.5769252,-120.5219926
-85.1249795886483,36.7522174281776,21,053,00516873,21053,Clinton,Clinton County,06,H1,G4020,,,,A,510864294,21164151,+36.7272577,-085.1360977
-83.650471565536,40.9936545100951,39,063,01074044,39063,Hancock,Hancock County,06,H1,G4020,248,22300,,A,1376210232,5959837,+41.0004711,-083.6660335
-101.826332941687,34.0694839882689,48,189,01383880,48189,Hale,Hale County,06,H1,G4020,,38380,,A,2602109431,246678,+34.0684364,-101.8228879
-85.8154613713446,33.2945584998442,01,027,00161539,01027,Clay,Clay County,06,H1,G4020,,,,A,1564253513,5283523,+33.2703999,-085.8635254
-101.357160447437,34.9641920003124,48,011,01383791,48011,Armstrong,Armstrong County,06,H1,G4020,108,11100,,A,2354581675,12219587,+34.9641790,-101.3566363
-84.1385540689139,40.7817695064461,39,003,01074015,39003,Allen,Allen County,06,H1,G4020,338,30620,,A,1042470095,11266164,+40.7716274,-084.1061032
-82.4957512000196,33.485788735522,13,189,00348794,13189,McDuffie,McDuffie County,06,H1,G4020,,12260,,A,666813913,23119020,+33.4796231,-082.4787331
-89.8964517359691,43.3941870172446,55,111,01581115,55111,Sauk,Sauk County,06,H1,G4020,357,12660,,A,2153665639,45713371,+43.4279976,-089.9433290
-92.2193801484934,35.9185597631168,05,137,00069902,05137,Stone,Stone County,06,H1,G4020,,,,A,1570579424,7841928,+35.8570169,-092.1405080
-117.127953136899,45.5394343327517,41,063,01155135,41063,Wallowa,Wallowa County,06,H1,G4020,,,,A,8147836572,14191789,+45.5937530,-117.1855796
-80.3335472203858,40.6650715310868,42,007,01214112,42007,Beaver,Beaver County,06,H1,G4020,430,38300,,A,1125901161,24165972,+40.6841401,-080.3507209
-89.1173173789542,32.0136204956698,28,061,00695754,28061,Jasper,Jasper County,06,H1,G4020,,29860,,A,1751451429,3181592,+32.0169894,-089.1194302
-93.7916242980301,38.3836524900899,29,083,00758496,29083,Henry,Henry County,06,H1,G4020,,,,A,1805075858,91636450,+38.3864909,-093.7926278
-106.331581913305,38.1029675419432,08,109,00198170,08109,Saguache,Saguache County,06,H1,G4020,,,,A,8206547707,4454510,+38.0316514,-106.2346662
-79.2555184444667,35.6956565587292,37,037,01008544,37037,Chatham,Chatham County,06,H1,G4020,450,20500,,A,1765011149,71264075,+35.7049939,-079.2514542
-111.238204702369,41.5731599347467,49,033,01448030,49033,Rich,Rich County,06,H1,G4020,,,,A,2664700942,149106532,+41.6275976,-111.2402269
-94.6622944745761,35.9001469919604,40,001,01101788,40001,Adair,Adair County,06,H1,G4020,,,,A,1485304967,9254749,+35.8980428,-094.6510258
